"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"/home/ss1l/Food Deliver back/api/controllers/restaurants.controllets.js", "JavaScript", 0, 27, 0, 6, 33
"/home/ss1l/Food Deliver back/api/db/database.js", "JavaScript", 0, 12, 0, 5, 17
"/home/ss1l/Food Deliver back/api/routes/node.routes.js", "JavaScript", 0, 5, 0, 3, 8
"/home/ss1l/Food Deliver back/app.js", "JavaScript", 0, 12, 0, 6, 18
"/home/ss1l/Food Deliver back/package-lock.json", "JSON", 4848, 0, 0, 1, 4849
"/home/ss1l/Food Deliver back/package.json", "JSON", 22, 0, 0, 1, 23
"Total", "-", 4870, 56, 0, 22, 4948
